name,calories,protein,carbs,fat
"Carne, bovina, peito, sem gordura, cozido",338.473133,22.246667,0,26.993333
"Carne, bovina, peito, sem gordura, cru",259.275633,17.556667,0,20.433333
"Carne, bovina, picanha, com gordura, crua",212.879433,18.823333,0,14.69
"Carne, bovina, picanha, com gordura, grelhada",288.767092,26.420833,0,19.506667
"Carne, bovina, picanha, sem gordura, crua",133.522367,21.25,0,4.743333
"Carne, bovina, picanha, sem gordura, grelhada",238.468133,31.906667,0,11.333333
"Carne, bovina, seca, cozida",312.799034,26.93125,0,21.929333
"Carne, bovina, seca, crua",312.748428,19.658333,0,25.366667
"Coxinha de frango, frita",283.048,9.610417,34.520583,11.836
"Croquete, de carne, cru",245.771925,12.04375,13.949583,15.561
"Croquete, de carne, frito",346.742015,16.8625,18.146167,22.673333
"Empada de frango, pré-cozida, assada",358.191667,6.94375,47.492917,15.605
"Empada, de frango, pré-cozida",377.479667,7.34375,35.528917,22.887667
"Frango, asa, com pele, crua",213.188333,18.1,0,15.066667
"Frango, caipira, inteiro, com pele, cozido",242.889327,23.883333,0,15.615667
"Frango, caipira, inteiro, sem pele, cozido",195.760297,29.575,0,7.702333
"Frango, coração, cru",221.502833,12.583333,0,18.6
"Frango, coração, grelhado",207.273643,22.439583,0.607417,12.096
"Frango, coxa, com pele, assada",215.118648,28.491667,0.058333,10.361333
"Frango, coxa, com pele, crua",161.474733,17.093333,0,9.81
"Frango, coxa, sem pele, cozida",167.428032,26.858333,0,5.847333
"Frango, coxa, sem pele, crua",119.947467,17.813333,0.02,4.856667
"Frango, fígado, cru",106.484567,17.586667,-0.023333,3.49
"Frango, filé, à milanesa",220.87278,28.460417,7.512917,7.790667
"Frango, inteiro, com pele, cru",226.319167,16.443333,0,17.306667
"Frango, inteiro, sem pele, assado",187.337797,28.025,0,7.502333
"Frango, inteiro, sem pele, cozido",170.389976,24.985417,0,7.062333
"Frango, inteiro, sem pele, cru",129.0964,20.586667,0,4.566667
"Frango, peito, com pele, assado",211.68315,33.416667,0,7.649
"Frango, peito, com pele, cru",149.465267,20.78,0,6.733333
"Frango, peito, sem pele, cozido",162.874763,31.46875,0,3.16
"Frango, peito, sem pele, cru",119.159267,21.526667,0,3.02
"Frango, peito, sem pele, grelhado",159.185007,32.033333,0,2.483667
"Frango, sobrecoxa, com pele, assada",259.604769,28.702083,0,15.193667
"Frango, sobrecoxa, com pele, crua",254.5322,15.46,0,20.9
"Frango, sobrecoxa, sem pele, assada",232.883397,29.175,0,12.007333
"Frango, sobrecoxa, sem pele, crua",161.7963,17.57,0,9.62
"Hambúrguer, bovino, cru",214.836,13.15625,4.15375,16.177333
"Hambúrguer, bovino, frito",258.283,19.972917,6.320083,17.012333
"Hambúrguer, bovino, grelhado",209.831667,13.15625,11.333417,12.430333
"Lingüiça, frango, crua",218.108814,14.239583,0,17.439667
"Lingüiça, frango, frita",245.461007,18.316667,0,18.542
"Lingüiça, frango, grelhada",243.658568,18.189583,0,18.402333
"Lingüiça, porco, crua",227.203451,16.064583,0,17.584
"Lingüiça, porco, frita",279.543589,20.452083,0,21.309667
"Lingüiça, porco, grelhada",296.489609,23.16875,0,21.902333
Mortadela,268.819989,11.952083,5.815917,21.649333
"Peru, congelado, assado",163.071398,26.202083,0,5.675
